match_run_id,lead_id,pos_id,warehouse_number,match_type,lifecycle_state,primary_transaction,final_score,combined_field_score,full_address_score,business_name_score,email_boost,phone_boost,winning_set,embedding_model,lead_fiscal_year,lead_fiscal_period,lead_week,pos_fiscal_year,pos_fiscal_period,pos_week,lead_business_name,pos_business_name,order_amount,created_date
github-28293475922-1-569,LEAD00386373,GPOS46341505,569,Exact,Closed - Match,True,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,1,2,TUTTTI FRUTTI FROZEN YOGURT,TUTTTI FRUTTI FROZEN YOGURT,250.85,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386373,GPOS65326023,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,8,3,TUTTTI FRUTTI FROZEN YOGURT,TUTTTI FRUTTI FROZEN YOGURT,158.46,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS46341984,569,Exact,Closed - Match,True,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,1,2,FAR EAST CENTER,FAR EAST CENTER,178.13,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS50686134,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,2,4,FAR EAST CENTER,FAR EAST CENTER,487.53,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS55779951,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,4,3,FAR EAST CENTER,FAR EAST CENTER,375.72,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS56358189,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,5,4,FAR EAST CENTER,FAR EAST CENTER,376.2,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS61857581,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,7,4,FAR EAST CENTER,FAR EAST CENTER,429.67,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386788,GPOS66759636,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,1,2,2026,9,1,FAR EAST CENTER,FAR EAST CENTER,415.75,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386916,GPOS65328071,569,Exact,Closed - Match,True,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,8,4,2026,8,1,"CENTER FOR DEVELOPING KIDS, IN","CENTER FOR DEVELOPING KIDS, IN",125.55,2026-06-27 15:29:50.465654+00:00
github-28293475922-1-569,LEAD00386916,GPOS65328072,569,Exact,Closed - Match,False,100.0,100.0,100.0,100.0,0.0,0.0,,exact-sql,2026,8,4,2026,8,4,"CENTER FOR DEVELOPING KIDS, IN","CENTER FOR DEVELOPING KIDS, IN",37.57,2026-06-27 15:29:50.465654+00:00
